"index","objective"
0,2297805859776774
1,2295733497815024
2,2302425281042828
3,2303797202806796
4,2304115741484114
5,2285035681158738
6,2303889836563272
7,2290199832186718
8,2300790579106708
9,2283786698577316
10,2303948734294180
11,2281925444943634
12,2299564959187210
13,2282317586495287
14,2296915959348931
15,2285746533112920
16,2301868659351095
17,2287594968115690
18,2303410058187910
19,2288371428906274
20,2302129537413897
21,2303260714787488
22,2301073855044462
23,2282995346997605
24,2302265073348625
25,2281424062640421
26,2303320937921426
27,2303172839118028
28,2302982728902741
29,2303868781696894
30,2303712637689393
31,2300826746824246
32,2267758787280740
33,2299418922163669
34,2302899896378546
35,2287015400967402
36,2303635221662747
37,2304103028777968
38,2297675962515528
39,2299668277469666
40,2303702265536982
41,2296289146558400
42,2303633040180427
43,2304071170137156
44,2302817482199952
45,2304063641322442
46,2303029534191864
47,2295661088528646
48,2303276580780126
49,2301695329205459
50,2301860909386322
51,2302445810735940
52,2297374433272840
53,2298741492276031
54,2302121084515946
55,2303320574446678
56,2304042954913903
57,2303506792624246
58,2303069810947464
59,2303795470939542
60,2303697213425371
61,2301536719269305
62,2299063130656212
63,2301318237540255
64,2303493505529850
65,2303859366780404
66,2303623896174922
67,2301456535210783
68,2302297798312832
69,2303044207117258
70,2302082589115203
71,2300739563036594
72,2302187498331353
73,2303123632905330
74,2303239014175604
75,2301328134880398
76,2296759955466102
77,2303471158052191
78,2303648603655110
79,2291054845736938
80,2303953338014269
81,2304071611619779
82,2301746118590216
83,2299037577120290
84,2303610008334170
85,2303429373320965
86,2303033477060890
87,2303348747557656
88,2301215133913422
89,2303531546449357
90,2304160262097057
91,2303906947228642
92,2302546487294046
93,2303684119511027
94,2303922848613361
95,2302279063752192
96,2303601635109152
97,2282945812912822
98,2303068825625284
99,2301617528047455
100,2303617813346646
101,2300080388040034
102,2304031681352106
103,2298637169766432
104,2296786584801113
105,2304102799862342
106,2303954458266163
107,2300540530078312
108,2303755512765941
109,2303581054506812
110,2304071597772782
111,2302302296234755
112,2302834170498725
113,2303736096290386
114,2303693990116457
115,2303905288487046
116,2291553012745429
117,2303369217158998
118,2304081520803147
119,2301564813854980
120,2302943230736543
121,2303409353497382
122,2292523621964421
123,2303801237286203
124,2304049335634815
125,2303358795233691
126,2302454001718566
127,2304035113516711
128,2304134965001646
129,2303784594836350
130,2292005806206222
131,2297071859813112
132,2303460976314674
133,2301195269880165
134,2297200173332858
135,2300146397490092
136,2298652459071867
137,2292782245984892
138,2303717899949460
139,2303529445325044
140,2304058681958746
141,2302706555988644
142,2303345938550681
143,2299003816823485
144,2303817021222116
145,2294172765321415
146,2300794719750432
147,2302887817730009
148,2303840404856156
149,2303630006537270
150,2302863783269980
151,2301893501515789
152,2300953923491809
153,2303605313663530
154,2299575592285372
155,2302842086070644
156,2304097737423741
157,2301993499419442
158,2302859674396603
159,2302360298948916
160,2298874957341431
161,2304130191481428
162,2303347140759560
163,2303974014787666
164,2303939551134900
165,2303614399116930
166,2303623546295586
167,2303151640558875
168,2303465220900915
169,2302482567895882
170,2296071575312099
171,2302314309942656
172,2300370147338669
173,2303982991942194
174,2303577583484826
175,2303997941943420
176,2301011181320150
177,2304050915318789
178,2296691196111520
179,2302689897370702
180,2298926790441400
181,2303506013302122
182,2302900397663644
183,2303988496890078
184,2302968330106895
185,2300775702080117
186,2301573816284564
187,2301820081382604
188,2302373329566174
189,2304111456865399
190,2303558511411123
191,2303571397653590
192,2302208440615391
193,2297134260055634
194,2303530171435713
195,2302670382937922
196,2303904149796758
197,2303203776478418
198,2302674893631865
199,2302915339756375
200,2302908992474928
201,2302830959651212
202,2302504613403076
203,2302940200402752
204,2301091236833036
205,2303826079820705
206,2303908596126140
207,2303839007216170
208,2303476113065352
209,2303737255347904
210,2302032453889906
211,2303499716599604
212,2298936825326981
213,2303655775250195
214,2303530401236368
215,2303727289055930
216,2304009168609202
217,2303886140448540
218,2301414369589246
219,2302903571760856
220,2302501233385438
221,2303279650972801
222,2302379474995756
223,2302104771224813
224,2296801234324520
225,2304055401392848
226,2302365372148459
227,2303800590408663
228,2302633393117717
229,2300829817761554
230,2296339878391747
231,2302806488116984
232,2297096850059310
233,2304075537940822
234,2299236340736406
235,2303747858368234
236,2302319615273646
237,2298708945724718
238,2303848660906170
239,2303595331832934
240,2303526626037602
241,2302261761085430
242,2303695063493610
243,2304047785019156
244,2303252322365846
245,2303579322166706
246,2303804704936474
247,2303928603159893
248,2303876165190428
249,2303618535003676
250,2303608072776831
251,2303648114862243
252,2303213975787626
253,2304131304889232
254,2303395018809706
255,2302752799557266
256,2302153587193830
257,2300075121761770
258,2303707135810652
259,2303688686479223
260,2303349134131605
261,2303453044783264
262,2303099034660714
263,2303864264308088
264,2302769542763833
265,2303605331978174
266,2300631146703042
267,2300949588174032
268,2303439210292690
269,2302263503572602
270,2302793769972448
271,2301999006753927
272,2302846276830898
273,2300949967123444
274,2303454411115094
275,2304039801161472
276,2303222589345598
277,2303640910463176
278,2301715321392002
279,2303673371734834
280,2303637871447782
281,2303787298826162
282,2303283135067364
283,2303842105978452
284,2302814680422528
285,2296797732929686
286,2301965972924066
287,2299444179367506
288,2302581386523075
289,2303007315973744
290,2303972226026974
291,2304067683309834
292,2300531211055755
293,2300816811368512
294,2303028563801778
295,2303156512229936
296,2300575984829904
297,2304064441630492
298,2300608590925419
299,2303180523155504
300,2302152679037772
301,2303998646783719
302,2303157214178315
303,2302638188390698
304,2303614789453754
305,2301680515102127
306,2303752428537620
307,2298525017586329
308,2295385756391467
309,2301772079143918
310,2299075963952597
311,2303464786209606
312,2303382830249542
313,2302310733932985
314,2301761146109404
315,2303317867009862
316,2303750382203766
317,2302807441259792
318,2303337190849560
319,2303733554538132
320,2303474704519380
321,2303271170294660
322,2302262469584606
323,2303457347861860
324,2304013448710228
325,2304103459790112
326,2302647128828648
327,2296093327636392
328,2303506410879334
329,2304000008637396
330,2304001481751358
331,2303544339903848
332,2303818993724559
333,2304000729655960
334,2303773027176853
335,2297967061544654
336,2302722875659522
337,2303979870045540
338,2303978547834119
339,2301502746858463
340,2298134603021296
341,2301859981259301
342,2303217352995754
343,2298413591983294
344,2303464483993892
345,2303783711057210
346,2303852657041320
347,2302764197107977
348,2303457294499765
349,2303736710117945
350,2303969627712866
351,2300042503531755
352,2300172148666304
353,2302023347576432
354,2301475493930996
355,2302283645746412
356,2301506477039820
357,2302470948666985
358,2304135507080720
359,2304029135540266
360,2303075720415505
361,2304046893164448
362,2303477670537373
363,2294971770925170
364,2296315952688641
365,2300879234995098
366,2302105327932760
367,2303166365073786
368,2294181968278467
369,2299503643381848
370,2294637518984650
371,2303937282102764
372,2303367993125441
373,2304158372332520
374,2301741025962939
375,2300230740402306
376,2304142419992662
377,2300950577435890
378,2303949597525016
379,2304106963059366
380,2300000826831124
381,2303230663072512
382,2303880448637864
383,2302295695852569
384,2303766241306098
385,2301442809880509
386,2303834315794501
387,2302119788828021
388,2303692841036629
389,2301900468459581
390,2302424254887183
391,2302286330023786
392,2302554394411030
393,2301746108878080
394,2297944180105000
395,2303353965866002
396,2304084437747461
397,2302815853842166
398,2301760422670302
399,2303496085436940
400,2301747239410078
401,2304114275943112
402,2301701703971306
403,2300832957312453
404,2301608990758272
405,2300707303772194
406,2297629229358352
407,2301504038267872
408,2303535855961438
409,2301693786235048
410,2298524988261106
411,2302900376663864
412,2303049396247968
413,2302896723848505
414,2303938259433070
415,2301051241405279
416,2302178907653186
417,2303481934146020
418,2303394799348008
419,2303892516038012
420,2304093300551528
421,2303916189910282
422,2303598511933361
423,2303769287513906
424,2304146352738902
425,2303770229833100
426,2303125415585878
427,2304012536728678
428,2301126457494558
429,2303512429565032
430,2304070827335613
431,2303661936586682
432,2303715961197169
433,2303362475908252
434,2295810510189100
435,2303405428745360
436,2299046506764382
437,2303508795584946
438,2303555147589387
439,2303827868144608
440,2300786285420750
441,2303934135375094
442,2303392163909580
443,2303483532343658
444,2301985973655230
445,2302443375417986
446,2303339071437300
447,2303458231975962
448,2301558088648076
449,2303935047726420
450,2301966578723991
451,2303683311325262
452,2301922138063878
453,2303340139823108
454,2303945223103858
455,2303500901526804
456,2303990913825480
457,2301681426720300
458,2301039718713254
459,2303954717220822
460,2301246633356728
461,2303386260852894
462,2300852420071858
463,2300465646587446
464,2303008173712710
465,2300485036847496
466,2303281323506764
467,2303370411371150
468,2303230548396818
469,2302903627499496
470,2301803102783138
471,2301537399727820
472,2303937621176162
473,2304067084974529
474,2303894573751226
475,2300099366572428
476,2303955572974116
477,2300198976339963
478,2302396624046482
479,2302457766254204
480,2300185428013812
481,2302412636858150
482,2303679611910056
483,2300719860242708
484,2303590481531250
485,2299076654288363
486,2303443957917282
487,2298120248111075
488,2303425043298972
489,2300065805853922
490,2303025214010975
491,2304035352598572
492,2295641236456399
493,2304014367029212
494,2304042675576952
495,2300078184127268
496,2301654333116884
497,2303893886327212
498,2303513199978410
499,2303296041979472
500,2302920762048352
501,2301650542614212
502,2304014928202346
503,2303984243950200
504,2302877889883336
505,2303638304237777
506,2303968053650750
507,2302417695148398
508,2304099478552046
509,2303955916581179
510,2301939992371718
511,2301335364901103
512,2303806508695937
513,2303086395012998
514,2302744968470162
515,2303968813431262
516,2296357910025550
517,2302405092139343
518,2297853209935982
519,2296218528266196
520,2303950417940202
521,2300228601579992
522,2302473619775934
523,2295670909118058
524,2304004494343874
525,2303981323492864
526,2296409108439490
527,2304041300572768
528,2295833124025090
529,2303613979242624
530,2301209096847543
531,2302143657425602
532,2301928124544744
533,2301309185064380
534,2303982966384542
535,2304135786938893
536,2303253369748582
537,2303331992840160
538,2303266608931622
539,2303284532045366
540,2302298333724596
541,2287907224510656
542,2301827733130804
543,2302893148105650
544,2303130836272576
545,2303578238433600
546,2303286246011139
547,2303668577397922
548,2276937920349997
549,2303403154938594
550,2303313665644234
551,2302556102478022
552,2301750624948026
553,2303687297180018
554,2304086586863124
555,2303443905891110
556,2304100481449772
557,2303610993984588
558,2277207202789792
559,2303506185049804
560,2303370558735976
561,2303777677092414
562,2303887480039006
563,2304174663215062
564,2302628593589374
565,2302512427466550
566,2303318111551882
567,2303060658244130
568,2302603096944234
569,2302969371616377
570,2303625580729318
571,2304113360759851
572,2303410476300523
573,2303225073812613
574,2300326695612824
575,2298498890419740
576,2299102860885010
577,2300762450555242
578,2299634083235498
579,2298321715036765
580,2299415465774379
581,2301492263785046
582,2302557396859617
583,2304043485622004
584,2302166972287650
585,2301498765485308
586,2303005990786310
587,2298864120548458
588,2303630487219074
589,2301796531771284
590,2299764760172913
591,2302730469833570
592,2299587009805026
593,2302992119898829
594,2304075526265470
595,2294697423040967
596,2296352327946486
597,2301558466801576
598,2301087561181303
599,2294262941975946
600,2300324247973005
601,2303792886226812
602,2294039090683131
