"index","objective","change"
0,2304188715163015,0
2551,2238163091577840,-2.865
2042,2188010641661706,-2.241
2441,2156705737228858,-1.431
898,2130387357448113,-1.22
2415,2105826815004884,-1.153
2487,2082249137936470,-1.12
1112,2059593741803427,-1.088
2791,2037292474415308,-1.083
2542,2017045626455158,-0.994
2549,1997562524539267,-0.966
2562,1980386275067475,-0.86
2757,1965142545568219,-0.77
2295,1950555532080259,-0.742
932,1936890133351201,-0.701
1490,1923234882158023,-0.705
2040,1910032532036130,-0.686
2218,1897136520741167,-0.675
1042,1884831916511038,-0.649
2541,1872676468427580,-0.645
2372,1860712578561287,-0.639
2653,1849006210611862,-0.629
2297,1837526176994440,-0.621
2529,1826419675117055,-0.604
721,1815354413895155,-0.606
1000,1804452533504496,-0.601
